rate,title,category,count,brief,author

9.6,白夜行, 图书 / 虚构 ,4040,"《白夜行》姊妹篇《幻夜》购买地址：http://read.douban.com/ebook/698016/ 1973年，大阪的一栋废弃建筑中发现一名遭利器刺死的男子。案件扑朔迷离，悬而未决。 此后20年间，案件滋生出的…
",

9.4,杀死一只知更鸟, 图书 / 虚构 ,360,"二十世纪三十年代，大萧条时期美国南部的一个小镇，三个孩子平静的生活被两桩冤案彻底打破。传闻与事实，坚强与软弱，正义与邪恶，忠诚与背叛，他们在痛苦与矛盾中艰难地拨开生活的重重迷雾，…
",

8.8,我的天才女友, 图书 / 虚构 ,303,"只有你身为女人才会知道这些丑陋的秘密； 两个女人，50年的友谊和战争。 《我的天才女友》是埃莱娜·费兰特“那不勒斯四部曲”的第一部，讲述了两个女主人公莉拉和埃莱娜的少女时代。故事…
",

9.0,仿生人会梦见电子羊吗？, 图书 / 虚构 ,118,"“科幻鬼才”菲利普•迪克成长于西方科技文明创造出的崭新辉煌的时代。彼时，人类进入了太空，登上了月球，成功制造出第一台工业用机器人……科技的蓬勃发展也催生出主流科幻小说对人类创造…
",

9.4,傲慢与偏见, 图书 / 虚构 ,438,"《傲慢与偏见》主讲了奥斯丁的讽刺艺术，不仅表现在某些人物的喜剧性格上，也不仅表现在众多情节的喜剧性处理上，而且还融汇在整个故事的反讽构思中，让现实对人们的主观臆想进行嘲讽。男主角…
",

,浪潮, 图书 / 虚构 ,8,"电影《浪潮》（Die Welle）同名原著。 世界离独裁有多远？ 35岁的德国导演丹尼斯·甘赛尔（Dennis Gansel）透过他杰出的电影《浪潮》给出了一个惊人的答案：世界离独裁只有五天！ 《浪潮…
",

9.0,高智商犯罪：死神代言人, 图书 / 虚构 ,1390,"原网络著名“谋杀官员”系列，国内首部“反类型”罪案小说。本作品一经推出，立刻引发轰动效应，作者用直白、利落的笔触，透视社会夹缝中的罪恶之源，写就最悲怆的宿命。 众目睽睽下的杀人游…
",

9.0,查令十字街84号, 图书 / 虚构 ,869,"《北京遇上西雅图之不二情书》吴秀波、汤唯因《查令十字街84号》结缘，以书为证，以信为媒，演绎《查令十字街84号》新故事。 纪念作者诞辰一百周年（1916.4.15-2016.4.15）；译者陈建铭修…
",

8.0,罗曼蒂克消亡史, 图书 / 虚构 ,1049,"七个短篇小说，七把扎出人性荒诞的利刃。 程耳的小说如同他的电影，循环推进，起落得当，总要人怀着好奇与疑惑，绝难一览无余。他通过冷静自律又舒缓细腻的叙述，连接往昔与现在，抖落隐秘--…
",

9.6,白鹿原, 图书 / 虚构 ,1110,"同名电视剧原著小说，唯一专有版权。 在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白…
",

